card_id,customer_id,card_number,issued_date,credit_limit_inr,current_balance_inr,status
7000069,137,4240302892142310,2024-01-03,500000,41178.11,ACTIVE
7000070,167,4444467825980724,2025-09-26,1000000,661492.39,ACTIVE
7000071,265,4440453102532574,2023-08-19,100000,68714.25,BLOCKED
7000072,199,4679431514719864,2023-12-08,200000,14398.14,ACTIVE
7000073,120,4563133281983732,2023-07-01,200000,160170.04,ACTIVE
7000074,5,4525896173070595,2023-02-04,200000,34826.25,ACTIVE
7000075,204,4533237371264371,2023-07-18,1000000,650319.31,ACTIVE
7000076,206,4131967116437192,2024-09-09,50000,36687.52,ACTIVE
7000077,196,4135685015514503,2023-10-26,50000,22556.87,BLOCKED
7000078,164,4435732233807205,2024-07-08,500000,228551.52,ACTIVE
7000079,176,4404988366999489,2025-10-18,100000,84040.49,ACTIVE
7000080,10,4535234129615146,2023-05-25,1000000,83906.26,ACTIVE
7000081,275,4346501933411856,2023-01-26,1000000,843019.56,ACTIVE
7000082,282,4166222333605661,2023-09-06,50000,903.77,ACTIVE
7000083,150,4599055783155561,2025-07-11,50000,31824.26,ACTIVE
7000084,53,4217758207744489,2025-01-26,50000,24091.09,ACTIVE
7000085,272,4740942047062877,2024-06-11,100000,3038.71,ACTIVE
7000086,270,4514180183603674,2023-09-07,50000,35793.79,ACTIVE
7000087,256,4989013095463994,2025-05-05,1000000,359169.97,BLOCKED
7000088,66,4116465328202094,2025-04-29,50000,849.19,ACTIVE
7000089,66,4454305600185436,2023-04-23,500000,312546.95,ACTIVE
7000090,189,4191058497168504,2023-07-15,500000,414848.81,CANCELLED
7000091,238,4742332389969965,2025-07-25,500000,393810.25,ACTIVE
7000092,46,4441642204121163,2025-11-09,500000,73274.13,ACTIVE
7000093,46,4204279805306577,2023-10-16,50000,11428.7,ACTIVE
7000094,104,4244224153342096,2024-03-08,50000,15586.5,ACTIVE
7000095,140,4726740880714316,2025-10-20,1000000,40094.53,ACTIVE
